ID;азвание;усское название;ртикул;роизводитель;ренд;атегория;аличие;ена
2000035464;РОЗНИЧНЫЙ ЭКСКЛЮЗИВ.ROCOCO, 59.4x59.4x56.8, мультифункциональная, функция пара CombiSteam, телескопические направляющие на 1 уровне, гриль, таймер, матовая черная;Встраиваемые электрические духовки ELECTROLUX;OPEB2650B;Electrolux;;Бытовая техника и электроника;0;ет цены
2000039339;Встраиваемые газовые панели Korting/ Газ,  Crystal, 60x51 см, Газовая варочная панель 60 см, 4 высокоэффективные конфорки, автоматический электроподжиг, газ-контроль каждой конфорки, передние металлические переключатели, утопленные чугунные решетки, в комплекте - чугунная подставка WOK и адаптер для кофейника, нержавеющая сталь;Встраиваемые газовые панели Korting;HG 697 CX;Körting;;Бытовая техника и электроника;0;ет цены
2000039341;Встраиваемые газовые панели Korting/ Газ,  Crystal, 60x51 см, Газовая варочная панель 60 см, 4 высокоэффективные конфорки, WOK- сверхмощная конфорка с тройным рядом пламени, автоматический электроподжиг, газ-контроль каждой конфорки, передние металлические переключатели, утопленные чугунные решетки, в комплекте - чугунная подставка WOK и адаптер для кофейника, черная;Встраиваемые газовые панели Korting;HG 697 CTN;Körting;;Бытовая техника и электроника;0;ет цены
2000034240;Сковорода Tefal/ Сковорода 25, для блинов, Supreme Gusto;Сковорода Tefal;H1180974;Tefal;;Бытовая техника и электроника;0;ет цены
2000052753;Встраиваемые электрические панели SMEG/ Индукционная,  Индукционная варочная панель, 60 см, 4 конфорки, прямой край, черная;Встраиваемые электрические панели SMEG;SI2641D;SMEG;;Бытовая техника и электроника;0;ет цены
2000052752;AUTOTEST Триммер для бороды;Триммер;TN2306F0;Rowenta;;Бытовая техника и электроника;0;ет цены
2000034586;Микроволновая печь LG;Микроволновая печь LG;MS2042DB.BBKQCIS;LG;;Бытовая техника и электроника;0;ет цены
2000054655;ВЫТЯЖКА MAUNFELD/ Тип: настенная• Цвет: бежевый• Ширина 600 мм.Наклонная вытяжка с настенным креплением.Максимальная производительность 700 м3/ч, рассчитанная на кухню до 20 м2 с низким уровнем шума 53 Дб. Сенсорное управление 3 скоростями. Прочное, закаленное стекло.Таймер;ВЫТЯЖКА MAUNFELD;CASCADA 60 Glass Beige;Maunfeld;;Бытовая техника и электроника;0;ет цены
2000054656;Газовая панель HOMSair HGG321BK/ Домино,  газовая, 30см, закаленное стекло, чугунные решетки, автоподжиг, газ-контроль, черная;Газовая панель HOMSair HGG321BK;HGG321BK;HOMSAir;;Бытовая техника и электроника;0;ет цены
2000054657;Газовая панель HOMSair HGG321BK/ Домино,  газовая, 30см, закаленное стекло, чугунные решетки, автоподжиг, газ-контроль, белая;Газовая панель HOMSair HGG321BK;HGG321WH;Maunfeld;;Бытовая техника и электроника;0;ет цены
2000054659;ВЫТЯЖКА MAUNFELD CROSBY HARDY 60 WHITE/ Тип: встраиваемая• Цвет: белый• Управление: механическое• Ширина, мм: 600• Полная потребляемая мощность, Вт: 115• Количество скоростей: 3• Максимальная производительность, м3/ч: 1000• Диаметр воздуховода, мм: 150• Площадь кухни: до 35 м2• Уровень шума, Дб: 51• Освещение, Вт: светодиодное 2х3• В комплекте: инструкция на русском языке• В опции: Фильтр угольный  CF140С;ВЫТЯЖКА MAUNFELD CROSBY HARDY 60 WHITE;CROSBY HARDY 60 WHITE;Maunfeld;;Бытовая техника и электроника;0;ет цены
2000035540;"Индукционная варочная панель INDESIT/ Индукционная,  Независимая индукционная варочная панель с сенсорным управлением; 60 см; 4 индукционные зоны с функцией Booster; Flexi Zone - возможность объединения двух зон; 4 таймера; распознавание посуды; функция Защита безопасности детей; без рамки; цвет: черный";Индукционная варочная панель INDESIT;VID 641 B C;Indesit;;Бытовая техника и электроника;0;ет цены
2000047359;Парогенератор TEFAL/ Парогенератор;Парогенератор TEFAL;SV5022E0;Tefal;;Бытовая техника и электроника;0;ет цены
2000018081;177.2х54.1х54.5 см, 272 (211+64) л, LED Освещение, зона свежести Hydrofresh, BigBox в морозилке;Встраиваемый холодильник BOSCH;KIS87AF30R;Bosch;;Бытовая техника и электроника;0;ет цены
